월,일,위도,경도,누적 평균 습도(%),누적 평균 기온(°C),누적 평균 풍속(m/s),누적 평균 지면온도(°C),누적 평균 일 순복사(MJ/m2),지난 일 수,Target
7,10,33.25992,126.48917,75.33333333,27.0,0.6,31.6,16.35448966408269,0,False
7,11,33.25992,126.48917,76.83333333,27.15,0.7,31.3,14.207244832041344,1,False
7,12,33.25992,126.48917,79.88888888666666,27.166666666666668,0.6833333333333332,30.900000000000002,12.46482988802756,2,False
7,13,33.25992,126.48917,80.66666666500001,27.35,0.825,31.05,12.536122416020671,3,False
7,14,33.25992,126.48917,80.53333333200001,27.6,0.7899999999999999,31.560000000000002,13.168897932816538,4,False
7,15,33.25992,126.48917,79.83333333166668,27.816666666666666,0.8083333333333332,32.233333333333334,13.582414944013783,5,False
7,16,33.25992,126.48917,78.76190476000001,27.985714285714288,0.7999999999999999,32.75714285714286,14.060641380583244,6,False
7,17,33.25992,126.48917,78.20833333125,28.1,0.85,33.175000000000004,14.408061208010338,7,False
7,18,33.25992,126.48917,77.81481481333334,28.266666666666666,0.85,33.422222222222224,14.373832184898077,8,False
7,19,33.25992,126.48917,78.266666665,28.35,0.9099999999999999,33.6,14.034448966408268,9,False
7,20,33.25992,126.48917,78.69696969545454,28.263636363636362,1.0227272727272727,33.38181818181818,13.324953605825698,10,False
7,21,33.25992,126.48917,78.83333333166667,28.166666666666668,1.0833333333333333,33.36666666666667,13.445374138673557,11,False
7,22,33.25992,126.48917,78.51282051153846,28.138461538461538,1.0769230769230769,33.37692307692308,13.501883820314053,12,False
7,23,33.25992,126.48917,78.49999999857143,28.2,1.0678571428571428,33.43571428571428,13.527463547434479,13,False
7,24,33.25992,126.48917,78.555555554,28.266666666666666,1.0733333333333333,33.61333333333333,13.594965977605513,14,True
4,25,33.25992,126.48917,58.66666667,14.7,2.15,18.2,15.96,0,False
4,26,33.25992,126.48917,54.0,13.45,2.65,16.8,15.945,1,False
4,27,33.25992,126.48917,48.88888889,13.666666666666666,2.35,16.666666666666668,14.886666666666665,2,False
4,28,33.25992,126.48917,43.666666667499996,14.525,2.2,17.325,14.7225,3,False
4,29,33.25992,126.48917,42.0,14.959999999999999,1.9900000000000002,17.98,15.048897932816539,4,False
4,30,33.25992,126.48917,42.888888888333334,15.216666666666667,1.866666666666667,18.566666666666666,14.744081610680448,5,False
5,1,33.25992,126.48917,45.333333332857144,15.657142857142857,1.7785714285714287,19.214285714285715,14.603498523440384,6,False
5,2,33.25992,126.48917,47.833333332500004,16.125,1.6562500000000002,19.475,13.699311208010338,7,False
